P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.30,RANDOM,DEGREE,20
0.30,RANDOM,PROTECTION,397
0.30,RANDOM,PROXIMITY,86
0.30,RANDOM,DEGREE,20
0.30,RANDOM,PROTECTION,397
0.30,RANDOM,PROXIMITY,86
0.30,RANDOM,DEGREE,20
0.30,RANDOM,PROTECTION,397
0.30,RANDOM,PROXIMITY,86
0.30,RANDOM,DEGREE,20
0.30,RANDOM,PROTECTION,397
0.30,RANDOM,PROXIMITY,86
0.30,RANDOM,DEGREE,20
0.30,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.35,RANDOM,PROXIMITY,89
0.35,RANDOM,DEGREE,14
0.35,RANDOM,PROTECTION,397
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
0.40,RANDOM,PROTECTION,391
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
0.40,RANDOM,PROTECTION,391
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
