0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 
0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 
0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 
1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 
1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 
1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
1614016560343

OUTBREAK 0
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 3, 5, 5
DEGREE, 3, 4, 6
PROTECTION, 3, 5, 5

OUTBREAK 1
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 4, 3, 7
DEGREE, 4, 3, 7
PROTECTION, 4, 4, 6

OUTBREAK 2
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 4, 4, 6
DEGREE, 4, 4, 6
PROTECTION, 4, 6, 4

OUTBREAK 3
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 5, 7, 3
DEGREE, 5, 7, 3
PROTECTION, 5, 7, 3

OUTBREAK 4
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 4, 0, 10
DEGREE, 4, 2, 8
PROTECTION, 6, 4, 6

OUTBREAK 5
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 3, 7, 3
DEGREE, 3, 7, 3
PROTECTION, 3, 7, 3

OUTBREAK 6
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 4, 2, 8
DEGREE, 3, 4, 6
PROTECTION, 4, 4, 6

OUTBREAK 7
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 3, 7, 3
DEGREE, 3, 7, 3
PROTECTION, 5, 7, 3

OUTBREAK 8
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 4, 3, 7
DEGREE, 4, 3, 7
PROTECTION, 5, 7, 3

OUTBREAK 9
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 4, 4, 6
DEGREE, 4, 4, 6
PROTECTION, 4, 5, 5
