P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.01,RANDOM,PROXIMITY,490
0.01,RANDOM,DEGREE,486
0.01,RANDOM,PROTECTION,474
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.02,RANDOM,PROXIMITY,473
0.02,RANDOM,DEGREE,414
0.02,RANDOM,PROTECTION,376
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.03,RANDOM,PROXIMITY,445
0.03,RANDOM,DEGREE,292
0.03,RANDOM,PROTECTION,260
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.04,RANDOM,PROXIMITY,402
0.04,RANDOM,DEGREE,177
0.04,RANDOM,PROTECTION,178
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.05,RANDOM,PROXIMITY,326
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,180
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.06,RANDOM,PROXIMITY,224
0.06,RANDOM,DEGREE,84
0.06,RANDOM,PROTECTION,278
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.07,RANDOM,PROXIMITY,159
0.07,RANDOM,DEGREE,30
0.07,RANDOM,PROTECTION,364
0.08,RANDOM,PROXIMITY,107
0.08,RANDOM,DEGREE,12
0.08,RANDOM,PROTECTION,403
0.08,RANDOM,PROXIMITY,107
0.08,RANDOM,DEGREE,12
0.08,RANDOM,PROTECTION,403
0.08,RANDOM,PROXIMITY,107
0.08,RANDOM,DEGREE,12
0.08,RANDOM,PROTECTION,403
0.08,RANDOM,PROXIMITY,107
0.08,RANDOM,DEGREE,12
0.08,RANDOM,PROTECTION,403
0.08,RANDOM,PROXIMITY,107
0.08,RANDOM,DEGREE,12
0.08,RANDOM,PROTECTION,403
0.08,RANDOM,PROXIMITY,107
0.08,RANDOM,DEGREE,12
0.08,RANDOM,PROTECTION,403
0.08,RANDOM,PROXIMITY,107
0.08,RANDOM,DEGREE,12
0.08,RANDOM,PROTECTION,403
0.08,RANDOM,PROXIMITY,107
0.08,RANDOM,DEGREE,12
0.08,RANDOM,PROTECTION,403
0.08,RANDOM,PROXIMITY,107
0.08,RANDOM,DEGREE,12
0.08,RANDOM,PROTECTION,403
