P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.01,DETERMINISTIC,PROXIMITY,500
0.01,DETERMINISTIC,DEGREE,497
0.01,DETERMINISTIC,PROTECTION,490
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.02,DETERMINISTIC,PROXIMITY,500
0.02,DETERMINISTIC,DEGREE,413
0.02,DETERMINISTIC,PROTECTION,374
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.03,DETERMINISTIC,PROXIMITY,500
0.03,DETERMINISTIC,DEGREE,273
0.03,DETERMINISTIC,PROTECTION,227
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.04,DETERMINISTIC,PROXIMITY,500
0.04,DETERMINISTIC,DEGREE,135
0.04,DETERMINISTIC,PROTECTION,106
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,80
0.05,DETERMINISTIC,PROTECTION,59
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.06,DETERMINISTIC,PROXIMITY,500
0.06,DETERMINISTIC,DEGREE,45
0.06,DETERMINISTIC,PROTECTION,22
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.07,DETERMINISTIC,PROXIMITY,500
0.07,DETERMINISTIC,DEGREE,26
0.07,DETERMINISTIC,PROTECTION,19
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.08,DETERMINISTIC,PROXIMITY,500
0.08,DETERMINISTIC,DEGREE,7
0.08,DETERMINISTIC,PROTECTION,4
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.09,DETERMINISTIC,PROXIMITY,500
0.09,DETERMINISTIC,DEGREE,8
0.09,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,1
0.11,DETERMINISTIC,PROXIMITY,500
0.11,DETERMINISTIC,DEGREE,5
