11,10,12,10,10,10,9,10,9,10,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1
9,11,9,10,9,10,13,9,9,9,1,4,2,1,1,1,2,1,1,2,1,2,1,1,1
10,10,12,10,10,11,9,10,9,11,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1
9,13,9,9,9,9,10,10,10,11,1,2,1,2,1,2,2,3,1,1,1,1,1,1,1
10,10,11,9,10,11,11,9,9,10,2,1,3,1,1,1,1,2,2,1,1,1,1,1,1
9,11,9,10,11,11,11,9,10,9,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1
10,10,10,9,10,12,10,10,9,10,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1
11,10,11,9,9,12,10,9,9,11,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1
9,10,9,10,11,12,10,11,9,11,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1
11,10,10,10,11,9,9,10,10,9,3,1,1,2,2,1,1,2,2,1,1,1,1,1,1
