PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
RANDOM,PROXIMITY,0
RANDOM,DEGREE,3
RANDOM,PROTECTION,197
RANDOM,RANDOM,4
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,199
MIXED,RANDOM,4
DETERMINISTIC,PROXIMITY,65
DETERMINISTIC,DEGREE,61
DETERMINISTIC,PROTECTION,9
DETERMINISTIC,RANDOM,111
