PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
RANDOM,PROXIMITY,152
RANDOM,DEGREE,89
RANDOM,PROTECTION,82
RANDOM,RANDOM,71
MIXED,PROXIMITY,167
MIXED,DEGREE,134
MIXED,PROTECTION,120
MIXED,RANDOM,125
DETERMINISTIC,PROXIMITY,122
DETERMINISTIC,DEGREE,98
DETERMINISTIC,PROTECTION,191
DETERMINISTIC,RANDOM,120
