PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
RANDOM,PROXIMITY,79
RANDOM,DEGREE,47
RANDOM,PROTECTION,83
RANDOM,RANDOM,13
MIXED,PROXIMITY,80
MIXED,DEGREE,57
MIXED,PROTECTION,82
MIXED,RANDOM,36
DETERMINISTIC,PROXIMITY,124
DETERMINISTIC,DEGREE,42
DETERMINISTIC,PROTECTION,147
DETERMINISTIC,RANDOM,37
