PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
RANDOM,PROXIMITY,39
RANDOM,DEGREE,24
RANDOM,PROTECTION,133
RANDOM,RANDOM,21
MIXED,PROXIMITY,60
MIXED,DEGREE,42
MIXED,PROTECTION,110
MIXED,RANDOM,29
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,40
DETERMINISTIC,PROTECTION,112
DETERMINISTIC,RANDOM,30
