PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
RANDOM,PROXIMITY,26
RANDOM,DEGREE,19
RANDOM,PROTECTION,152
RANDOM,RANDOM,9
MIXED,PROXIMITY,39
MIXED,DEGREE,28
MIXED,PROTECTION,128
MIXED,RANDOM,39
DETERMINISTIC,PROXIMITY,126
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,81
DETERMINISTIC,RANDOM,25
