PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
RANDOM,PROXIMITY,131
RANDOM,DEGREE,51
RANDOM,PROTECTION,38
RANDOM,RANDOM,23
MIXED,PROXIMITY,111
MIXED,DEGREE,71
MIXED,PROTECTION,73
MIXED,RANDOM,53
DETERMINISTIC,PROXIMITY,125
DETERMINISTIC,DEGREE,65
DETERMINISTIC,PROTECTION,186
DETERMINISTIC,RANDOM,67
