PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
RANDOM,PROXIMITY,15
RANDOM,DEGREE,6
RANDOM,PROTECTION,178
RANDOM,RANDOM,15
MIXED,PROXIMITY,16
MIXED,DEGREE,18
MIXED,PROTECTION,164
MIXED,RANDOM,27
DETERMINISTIC,PROXIMITY,143
DETERMINISTIC,DEGREE,51
DETERMINISTIC,PROTECTION,34
DETERMINISTIC,RANDOM,24
