P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.50,RANDOM,PROXIMITY,26
0.50,RANDOM,DEGREE,19
0.50,RANDOM,PROTECTION,152
0.50,RANDOM,RANDOM,9
0.50,RANDOM,PROXIMITY,26
0.50,RANDOM,DEGREE,19
0.50,RANDOM,PROTECTION,152
0.50,RANDOM,RANDOM,9
0.50,RANDOM,PROXIMITY,26
0.50,RANDOM,DEGREE,19
0.50,RANDOM,PROTECTION,152
0.50,RANDOM,RANDOM,9
0.50,RANDOM,PROXIMITY,26
0.50,RANDOM,DEGREE,19
0.50,RANDOM,PROTECTION,152
0.50,RANDOM,RANDOM,9
0.50,RANDOM,PROXIMITY,26
0.50,RANDOM,DEGREE,19
0.50,RANDOM,PROTECTION,152
0.50,RANDOM,RANDOM,9
0.50,RANDOM,PROXIMITY,26
0.50,RANDOM,DEGREE,19
0.50,RANDOM,PROTECTION,152
0.50,RANDOM,RANDOM,9
0.50,RANDOM,PROXIMITY,26
0.50,RANDOM,DEGREE,19
0.50,RANDOM,PROTECTION,152
0.50,RANDOM,RANDOM,9
0.50,RANDOM,PROXIMITY,26
0.50,RANDOM,DEGREE,19
0.50,RANDOM,PROTECTION,152
0.50,RANDOM,RANDOM,9
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.60,RANDOM,PROXIMITY,15
0.60,RANDOM,DEGREE,6
0.60,RANDOM,PROTECTION,178
0.60,RANDOM,RANDOM,15
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.70,RANDOM,PROXIMITY,11
0.70,RANDOM,DEGREE,8
0.70,RANDOM,PROTECTION,182
0.70,RANDOM,RANDOM,13
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
