PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,6
RANDOM,DEGREE,4
RANDOM,PROTECTION,187
RANDOM,RANDOM,10
MIXED,PROXIMITY,8
MIXED,DEGREE,10
MIXED,PROTECTION,183
MIXED,RANDOM,11
DETERMINISTIC,PROXIMITY,130
DETERMINISTIC,DEGREE,59
DETERMINISTIC,PROTECTION,12
DETERMINISTIC,RANDOM,41
