MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
1,RANDOM,PROXIMITY,336
1,RANDOM,DEGREE,62
1,RANDOM,PROTECTION,105
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
2,RANDOM,PROXIMITY,330
2,RANDOM,DEGREE,51
2,RANDOM,PROTECTION,122
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
3,RANDOM,PROXIMITY,183
3,RANDOM,DEGREE,33
3,RANDOM,PROTECTION,284
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
4,RANDOM,PROXIMITY,79
4,RANDOM,DEGREE,7
4,RANDOM,PROTECTION,414
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
5,RANDOM,PROXIMITY,27
5,RANDOM,DEGREE,3
5,RANDOM,PROTECTION,470
