MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
1,MIXED,PROXIMITY,326
1,MIXED,DEGREE,127
1,MIXED,PROTECTION,212
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
2,MIXED,PROXIMITY,358
2,MIXED,DEGREE,81
2,MIXED,PROTECTION,106
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
3,MIXED,PROXIMITY,291
3,MIXED,DEGREE,79
3,MIXED,PROTECTION,145
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
4,MIXED,PROXIMITY,228
4,MIXED,DEGREE,77
4,MIXED,PROTECTION,208
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
5,MIXED,PROXIMITY,162
5,MIXED,DEGREE,56
5,MIXED,PROTECTION,297
