PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,47
RANDOM,DEGREE,41
RANDOM,PROTECTION,37
MIXED,PROXIMITY,47
MIXED,DEGREE,42
MIXED,PROTECTION,44
DETERMINISTIC,PROXIMITY,50
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,36
