17,16,15,16,17,17,21,16,19,16,16,17,21,15,18,4,12,4,7,5,8,5,7,5,4,4,6,3,6,6,4,4,5,5,4,4,3,3,4,4,5,3,3,5,3,4,3,3,3,3
18,19,17,17,19,16,20,18,20,17,22,17,18,15,18,5,7,6,4,6,5,4,3,5,7,3,5,4,4,4,4,4,4,4,3,3,4,6,5,3,3,5,4,3,3,4,3,3,3,3
17,19,19,15,16,17,18,18,17,17,19,22,16,21,16,3,6,6,8,4,7,4,7,5,7,5,5,4,4,3,5,4,4,7,4,3,3,4,4,3,4,3,3,3,3,3,4,3,3,3
15,20,20,16,16,15,16,17,19,17,17,17,20,17,19,4,11,8,6,5,6,5,4,4,7,5,7,6,3,5,4,3,3,4,3,6,5,4,3,4,4,4,3,3,3,3,3,3,3,3
20,19,16,14,19,19,17,18,16,19,15,19,16,19,19,5,6,11,6,4,5,3,4,5,7,3,5,6,6,5,3,4,3,5,5,3,3,3,5,5,3,3,3,3,3,3,3,4,3,3
16,18,18,19,16,15,18,16,18,21,18,17,15,16,16,10,6,8,5,5,6,7,7,5,3,7,4,4,4,5,6,5,4,3,4,6,3,3,4,3,3,3,3,3,4,3,4,3,3,3
18,17,15,17,16,18,14,16,16,17,17,18,21,18,19,7,6,6,5,6,5,5,6,6,7,4,7,4,4,5,7,4,4,6,6,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3
15,18,19,15,18,15,16,19,17,15,21,18,20,19,19,6,6,3,6,6,5,7,4,5,6,7,5,3,6,5,3,4,5,4,3,4,4,3,5,3,4,3,4,4,3,4,3,3,3,3
16,16,17,20,19,18,18,16,19,16,18,16,18,17,19,9,8,7,9,5,3,6,4,4,7,3,6,5,4,3,5,6,4,3,3,3,3,4,5,3,3,3,3,3,4,4,3,3,3,3
20,20,19,18,18,18,17,16,17,16,18,20,21,16,16,7,4,5,9,5,6,5,3,4,5,6,5,4,5,5,4,5,6,4,3,3,3,3,3,3,5,5,3,4,3,3,3,3,3,3
