PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
RANDOM,PROXIMITY,83
RANDOM,DEGREE,28
RANDOM,PROTECTION,389
RANDOM,RANDOM,2
MIXED,PROXIMITY,224
MIXED,DEGREE,75
MIXED,PROTECTION,210
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,171
DETERMINISTIC,DEGREE,46
DETERMINISTIC,PROTECTION,295
DETERMINISTIC,RANDOM,6
