MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
1,MIXED,PROXIMITY,304
1,MIXED,DEGREE,118
1,MIXED,PROTECTION,208
1,MIXED,RANDOM,108
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
2,MIXED,PROXIMITY,326
2,MIXED,DEGREE,65
2,MIXED,PROTECTION,138
2,MIXED,RANDOM,32
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
