PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
RANDOM,PROXIMITY,358
RANDOM,DEGREE,66
RANDOM,PROTECTION,105
RANDOM,RANDOM,40
MIXED,PROXIMITY,304
MIXED,DEGREE,118
MIXED,PROTECTION,208
MIXED,RANDOM,108
DETERMINISTIC,PROXIMITY,205
DETERMINISTIC,DEGREE,76
DETERMINISTIC,PROTECTION,362
DETERMINISTIC,RANDOM,86
