MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
1,RANDOM,PROXIMITY,147
1,RANDOM,DEGREE,66
1,RANDOM,PROTECTION,62
1,RANDOM,RANDOM,32
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
2,RANDOM,PROXIMITY,143
2,RANDOM,DEGREE,53
2,RANDOM,PROTECTION,66
2,RANDOM,RANDOM,11
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
3,RANDOM,PROXIMITY,112
3,RANDOM,DEGREE,48
3,RANDOM,PROTECTION,91
3,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
