MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
1,DETERMINISTIC,PROXIMITY,89
1,DETERMINISTIC,DEGREE,55
1,DETERMINISTIC,PROTECTION,192
1,DETERMINISTIC,RANDOM,68
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
2,DETERMINISTIC,PROXIMITY,91
2,DETERMINISTIC,DEGREE,41
2,DETERMINISTIC,PROTECTION,177
2,DETERMINISTIC,RANDOM,44
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
3,DETERMINISTIC,PROXIMITY,105
3,DETERMINISTIC,DEGREE,35
3,DETERMINISTIC,PROTECTION,160
3,DETERMINISTIC,RANDOM,22
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
4,DETERMINISTIC,RANDOM,24
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
4,DETERMINISTIC,RANDOM,24
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
4,DETERMINISTIC,RANDOM,24
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
