PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
RANDOM,PROXIMITY,39
RANDOM,DEGREE,10
RANDOM,PROTECTION,452
RANDOM,RANDOM,0
MIXED,PROXIMITY,173
MIXED,DEGREE,55
MIXED,PROTECTION,273
MIXED,RANDOM,13
DETERMINISTIC,PROXIMITY,246
DETERMINISTIC,DEGREE,57
DETERMINISTIC,PROTECTION,234
DETERMINISTIC,RANDOM,1
