PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
RANDOM,PROXIMITY,143
RANDOM,DEGREE,53
RANDOM,PROTECTION,66
RANDOM,RANDOM,11
MIXED,PROXIMITY,149
MIXED,DEGREE,67
MIXED,PROTECTION,89
MIXED,RANDOM,35
DETERMINISTIC,PROXIMITY,91
DETERMINISTIC,DEGREE,41
DETERMINISTIC,PROTECTION,177
DETERMINISTIC,RANDOM,44
