PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,15
RANDOM,DEGREE,4
RANDOM,PROTECTION,7
RANDOM,RANDOM,6
MIXED,PROXIMITY,17
MIXED,DEGREE,11
MIXED,PROTECTION,7
MIXED,RANDOM,7
DETERMINISTIC,PROXIMITY,7
DETERMINISTIC,DEGREE,3
DETERMINISTIC,PROTECTION,19
DETERMINISTIC,RANDOM,6
