PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,17
RANDOM,DEGREE,5
RANDOM,PROTECTION,2
RANDOM,RANDOM,1
MIXED,PROXIMITY,16
MIXED,DEGREE,2
MIXED,PROTECTION,5
MIXED,RANDOM,6
DETERMINISTIC,PROXIMITY,6
DETERMINISTIC,DEGREE,5
DETERMINISTIC,PROTECTION,19
DETERMINISTIC,RANDOM,9
