PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,1
RANDOM,PROTECTION,18
RANDOM,RANDOM,0
MIXED,PROXIMITY,1
MIXED,DEGREE,1
MIXED,PROTECTION,18
MIXED,RANDOM,2
DETERMINISTIC,PROXIMITY,14
DETERMINISTIC,DEGREE,7
DETERMINISTIC,PROTECTION,0
DETERMINISTIC,RANDOM,4
