PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,0
RANDOM,DEGREE,0
RANDOM,PROTECTION,25
MIXED,PROXIMITY,0
MIXED,DEGREE,0
MIXED,PROTECTION,25
DETERMINISTIC,PROXIMITY,25
DETERMINISTIC,DEGREE,10
DETERMINISTIC,PROTECTION,13
