PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,19
RANDOM,DEGREE,8
RANDOM,PROTECTION,11
MIXED,PROXIMITY,20
MIXED,DEGREE,11
MIXED,PROTECTION,13
DETERMINISTIC,PROXIMITY,25
DETERMINISTIC,DEGREE,8
DETERMINISTIC,PROTECTION,4
