P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,98
0.05,DETERMINISTIC,PROTECTION,62
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,6
0.10,DETERMINISTIC,PROTECTION,2
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
