10,10,13,11,10,10,12,9,11,10,2,3,6,4,2,3,3,4,2,2,3,3,3,2,2
12,12,10,10,11,10,10,11,11,10,4,4,3,3,2,2,2,3,3,4,3,2,2,2,2
10,9,10,12,10,14,12,10,11,13,3,2,3,3,6,2,2,2,3,2,2,2,2,2,2
10,10,13,11,14,12,11,10,10,10,2,2,4,3,4,2,3,3,3,2,2,2,2,2,2
9,12,10,11,10,12,11,10,9,13,2,2,3,3,5,5,3,4,3,2,2,3,2,2,2
12,12,12,10,11,10,12,12,12,9,4,2,4,3,2,2,2,2,4,2,2,2,2,2,2
13,11,10,10,9,9,11,11,12,13,2,3,2,4,6,2,2,2,2,4,3,2,2,2,2
12,10,12,9,10,11,10,14,9,13,4,2,4,4,2,2,2,2,2,3,3,3,2,2,2
11,11,12,10,11,11,10,10,11,10,2,3,4,2,3,6,5,2,2,2,3,3,2,2,2
11,12,10,10,11,11,10,11,9,13,4,3,4,2,4,2,3,2,3,2,3,2,2,2,2
