15,11,11,11,14,14,15,15,13,10,7,5,6,7,5,6,4,5,5,7,5,4,4,4,4
12,14,10,12,12,12,15,10,13,12,8,8,6,6,6,7,5,6,6,5,4,4,4,4,4
13,9,12,12,14,15,14,12,16,13,5,7,6,4,6,5,6,4,6,6,5,5,4,4,4
11,12,14,11,12,10,11,11,12,15,9,5,8,6,8,6,7,4,5,5,6,5,4,4,4
13,12,13,16,13,11,14,13,13,14,8,7,6,4,5,5,5,5,5,5,4,4,4,4,4
12,13,13,13,13,13,11,14,13,13,6,7,6,5,7,5,6,5,5,7,4,4,4,5,4
13,11,16,13,13,11,14,15,15,12,4,7,6,5,4,6,5,5,6,4,5,6,4,4,4
13,11,13,12,11,13,12,14,10,14,8,7,6,7,8,8,6,4,4,5,5,4,4,4,4
15,10,10,13,13,12,11,14,16,11,10,8,6,7,5,5,5,6,6,4,4,4,5,5,4
12,11,14,14,11,14,12,14,14,14,5,6,4,7,8,5,5,6,6,4,5,4,4,5,4
